event_id,true_x,true_y,true_z,S1e,S2e,xmax,ymax,xpos,ypos
68,148.23456,-452.7355,596.0447,93,66094,139.95,-450.95,143.4904001917158,-451.86024973799545
69,88.74774,-205.5576,992.9861,118,52161,93.3,-202.15,91.88636545034555,-203.23948659714625
70,-216.86589,136.97609,214.86847,94,52725,-217.7,139.95,-217.0810929483442,139.15810017055935
71,-333.88763,36.55362,296.14413,110,53767,-326.55,31.1,-330.10153695565685,35.10674866284329
72,-374.9819,-217.70941,342.88763,87,58143,-373.2,-217.7,-373.7729014828331,-218.87802856137054
73,149.29787,-204.77797,167.51701,98,51469,139.95,-202.15,144.14325674678503,-203.4193841428173
74,-303.27,-54.05585,396.31042,76,52720,-295.45,-46.65,-298.4736177232531,-48.50119140261695
75,47.596592,-280.5064,1044.2086,111,53364,46.65,-279.9,46.65000090488167,-280.0968320436116
76,4.825765,-139.16922,539.37305,107,52306,-0.0,-139.95,1.5295081967213113,-139.76812704878245
77,-363.10406,71.3363,746.7041,92,55150,-373.2,77.75,-370.11060314052156,76.2353896103896
78,-105.35041,-183.68372,278.53653,105,51823,-108.85,-171.05,-107.66215196185641,-175.90248387113533
79,-344.47852,-110.22867,54.723984,73,53600,-342.1,-108.85,-342.3429716428122,-109.80692234137118
80,75.36758,-464.7303,399.86584,101,64863,77.75,-466.5,75.96106194690266,-459.6731707317073
81,-51.111443,-479.21744,684.46545,97,62416,-46.65,-482.05,-49.267327639135985,-475.35485585530597
82,-439.84155,121.21457,1019.68976,120,61053,-450.95,124.4,-448.4159333405671,125.09111203794126
83,296.0158,-258.8231,570.5666,74,54815,295.45,-264.35,295.6297761244581,-262.8236231517207
84,-356.59592,233.15692,734.80225,124,58432,-357.65,233.25,-357.0557289852458,233.88469387755103
85,-238.9231,27.443928,51.080067,86,52214,-233.25,31.1,-234.76297297297293,29.421307015419007
86,303.9456,28.055117,412.65134,116,52711,311.0,31.1,307.42433155080215,29.85981614984618
87,325.13168,287.213,1198.67,132,57496,326.55,279.9,327.4138824462891,281.8566191616437
88,-60.457973,-468.37344,240.06111,92,66774,-62.2,-466.5,-62.88268333248976,-467.7410798122066
89,-305.1016,-3.2217665,694.0048,114,53044,-311.0,-0.0,-310.78986486486485,0.10874125874125921
90,358.46045,-295.65735,962.80505,95,62388,357.65,-295.45,357.547015865907,-296.94741491247106
91,206.86044,335.0813,874.24506,106,55593,202.15,326.55,203.55451290007562,330.0387755565155
92,-280.03766,82.937645,994.102,114,52080,-279.9,77.75,-279.18855862087673,79.17988505747125
93,249.2468,-28.483427,513.60425,101,50970,248.8,-31.1,248.13476099024484,-29.818406792525412
